index,model_name,question,reference_answer,model_answer,error
0,Qwen/Qwen2.5-1.5B-Instruct,Anayasanın 90. Maddesi Nasıl Uygulanır?,Milletlerarası antlaşmaların TBMM tarafından onaylanmasıyla uygulanır.,"Anayasanın 90. Maddesi, ""Hükümetin Halkı ile İlişkileri"" olarak adlandırılır. Bu maddi, hükümetin halkına karşı yapılan hizmetlerin ve hizmetlere ilişkin hakların belirl",
1,Qwen/Qwen2.5-1.5B-Instruct,Hukukta 'legitimate expectation' nedir?,"Legitimate expectation, bir kişinin belirli bir eylem veya karar beklentisinin hukuken korunabilir olduğuna dair bir ilkeyi ifade eder. bu beklenti genellikle devlet veya kamu organlarının tutarlı davranışlarına dayanır.","Legitimate expectation, bir kişinin beklediği veya alacağı durumunun, belirlenmiş bir sözleşmede veya diğer hukuki anlaşmada belirtilen duruma uyması gereken bir durumdur. Bu durum, belirli bir süre boy",
2,Qwen/Qwen2.5-1.5B-Instruct,"Anayasa madde 172'ye göre, devletin sanayi ve ticareti destekleme konusundaki görevleri nelerdir?","Anayasa madde 172'ye göre, devlet, sanayi ve ticaretin geliştirilmesi ve rekabet gücünün artırılması için gerekli tedbirleri alır. i̇şletmelerin verimliliğini ve yenilikçiliğini artırmak için teşvik ve destekler sağlanır.","Devletin sanayi ve ticareti destekleme görevlerinin temel özellikleri şunlardır:

1. Sanayi ve ticaret sektörünün etkili bir şekilde yönetilmesi
2. Sanayi ve ticaret sektörünün gelişimini desteklem",
3,Qwen/Qwen2.5-1.5B-Instruct,"Anayasa madde 158, uyuşmazlık mahkemesi'nin kuruluşu ve görevlerine müdahale hangi durumlarda yasaktır","Anayasa madde 158'e göre, uyuşmazlık mahkemesi'nin kuruluşu ve görevlerine müdahale, uyuşmazlık mahkemesi'nin adli, idari ve askeri yargı mercileri arasındaki görev ve hüküm uyuşmazlıklarını kesin olarak çözmemesi veya anayasa mahkemesi başkanı'nın başkanlığında çalışmaması durumunda yasaktır. devlet, bu tür müdahaleleri önlemek ve uyuşmazlık mahkemesi'nin kuruluşu ve görevlerini korumakla yükümlüdür.","Anayasa Madde 158, uyuşmazlık mahkemesi'nin kuruluşu ve görevlerine müdahale edilmez. Bu anayasal hükümler, uyuşmazlık mahkemelerinin kurulması ve görevlerini",
4,Qwen/Qwen2.5-1.5B-Instruct,"Bir grup avukat, Türkiye Büyük Millet Meclisi Başkanı'nın Cumhurbaşkanlığı seçimlerine katılamayacağını belirten Anayasa maddesinin iptali için başvuruda bulunmuştur. Bu başvuru Anayasanın 94. Maddesi ile nasıl çelişir?","Anayasanın 94. Maddesi, Türkiye Büyük Millet Meclisi Başkanı'nın Cumhurbaşkanlığı seçimlerine katılamayacağını belirtir. Bu maddeye aykırı bir başvuru Anayasa'ya aykırıdır.","Anayasa maddesi, bir grup avukatın bir hükümet göreviyle ilgili bir başvuru oluşturmasını engellemektedir. Bu maddede, bir grup avukatın bir hükümet göreviyle ilgili bir başvuru oluşturmasını engelleyen",
5,Qwen/Qwen2.5-1.5B-Instruct,Grev ve lokavt hakkının önemi nedir,"Grev ve lokavt hakkı, çalışanların ve işverenlerin toplu iş uyuşmazlıklarında haklarını savunmalarını ve taleplerini dile getirmelerini sağlar. bu haklar, işçi-işveren ilişkilerinin dengeli ve adil bir şekilde yürütülmesini destekler.","Grev ve lokavt hakkı, bir vatandaşın yasalara karşı hareket etme yetkisi. Bu haklar, vatandaşların yasa dışı davranışları veya yasa dışı durumlarla karşı karşıya olup, bu durumlarda yasa dışı hareket yap",
6,Qwen/Qwen2.5-1.5B-Instruct,"Cumhurbaşkanlığı seçimleri, Cumhurbaşkanının görev süresi dolmasına yetmiş gün kala tamamlanmıştır. Bu durum Anayasanın 102. Maddesi ile nasıl çelişir?","Anayasanın 102. Maddesi, seçimlerin görev süresinin dolmasından önceki altmış gün içinde tamamlanmasını öngörür. Yetmiş gün kala tamamlanması bu maddeye aykırıdır.","Anayasanın 102. Maddesi, Cumhurbaşkanı seçimi sırasında veya sonrasında yapılan bir tarafta yapılan seçimlere ilişkin yasal düzenlemelerin geçerli olup olmadığını kontrol etmek için kullanılır. Bu durumda",
7,Qwen/Qwen2.5-1.5B-Instruct,Türk ceza kanunu'na göre kasten öldürme suçu nedir?,Bir kişiyi öldürme kastıyla işlenen suçtur.,"Kasten öldürme suçunun en önemli özelliklerinden biri olan ""sürekli suç"" özelliğinin yanı sıra, bu suç ayrıca ""hükümetin yasa dışı davranışlarına karşı tutkuyla karşılanması"" ve ""yasa dışı davranışların te",
8,Qwen/Qwen2.5-1.5B-Instruct,"Bir milletvekili, bir kamu idaresinin faaliyetlerini denetlemek için verdiği soru önergesine cevap alamamıştır. Bu durum Anayasanın 98. Maddesi'ne aykırı mıdır?","Evet, Anayasanın 98. Maddesi, verilen soru önergelerinin cevaplandırılmasını öngörür. Cevap alınamaması bu maddeye aykırıdır.","**Anayasanın 98. Maddesi**:

1. **İçeriği**: ""Kamu idareleri, hükümetin görevlilerinden veya diğer özel yetkililere verilen görevleri yerine getirmeyen veya yerine getirmede bulunmay",
9,Qwen/Qwen2.5-1.5B-Instruct,"Sanık, bir finans kurumunda yatırım tavsiyeleri vererek müşterileri yanıltıp zarar uğratırsa, hangi suçlamalar gündeme gelir?","Sanık, finans kurumunda yatırım tavsiyeleri vererek müşterileri yanıltıp zarar uğratırsa, 'mali dolandırıcılık', 'yanıltıcı tavsiyelerde bulunma' ve 'ticari etik kurallarının ihlali' suçlarıyla karşılaşabilir. Bu suçlar, hapis cezası ve/veya para cezası ile sonuçlanabilir ve mağdurların zararının tazmini gerekebilir.","Sanık, bir finans kurumunda yatırım tavsiyeleri vererek müşterileri yanıltıp zarar uğratırsa, hangi suçlamalar gündeme gelir? (a) Yatırım诈骗 (b) Yatırım yasası ihlal (",
