index,model_name,question,reference_answer,model_answer,error
0,google/gemma-2-2b-it,Anayasanın 90. Maddesi Nasıl Uygulanır?,Milletlerarası antlaşmaların TBMM tarafından onaylanmasıyla uygulanır.,"Anayasanın 90. Maddesi, **""Hukuk ve yasal düzenlemeler, yasama, yürütme ve yargı organlarının görevleri ve yetkileri""** konusunda düzenlemeler yapar. Bu madde, **""Anayasa",
1,google/gemma-2-2b-it,Hukukta 'legitimate expectation' nedir?,"Legitimate expectation, bir kişinin belirli bir eylem veya karar beklentisinin hukuken korunabilir olduğuna dair bir ilkeyi ifade eder. bu beklenti genellikle devlet veya kamu organlarının tutarlı davranışlarına dayanır.","Legitimate expectation, bir kişinin, bir kurum veya devlet tarafından belirlenen bir durum veya davranışa dair bir beklenti oluşturması durumunda ortaya çıkar. Bu beklenti, kurum veya devlet tarafından açıkça veya dolaylı olarak sunulan bir bilgi veya sözleşme yoluyla",
2,google/gemma-2-2b-it,"Anayasa madde 172'ye göre, devletin sanayi ve ticareti destekleme konusundaki görevleri nelerdir?","Anayasa madde 172'ye göre, devlet, sanayi ve ticaretin geliştirilmesi ve rekabet gücünün artırılması için gerekli tedbirleri alır. i̇şletmelerin verimliliğini ve yenilikçiliğini artırmak için teşvik ve destekler sağlanır.","Anayasa madde 172'ye göre, devletin sanayi ve ticareti destekleme konusundaki görevleri şunlardır:

* **Sanayi ve ticareti teşvik etmek:** Bu, devlet tarafından yapılan teşvikler, destekler ve yatırımlar yolu",
3,google/gemma-2-2b-it,"Anayasa madde 158, uyuşmazlık mahkemesi'nin kuruluşu ve görevlerine müdahale hangi durumlarda yasaktır","Anayasa madde 158'e göre, uyuşmazlık mahkemesi'nin kuruluşu ve görevlerine müdahale, uyuşmazlık mahkemesi'nin adli, idari ve askeri yargı mercileri arasındaki görev ve hüküm uyuşmazlıklarını kesin olarak çözmemesi veya anayasa mahkemesi başkanı'nın başkanlığında çalışmaması durumunda yasaktır. devlet, bu tür müdahaleleri önlemek ve uyuşmazlık mahkemesi'nin kuruluşu ve görevlerini korumakla yükümlüdür.","Anayasa madde 158, uyuşmazlık mahkemesi'nin kuruluşu ve görevlerine müdahale **yasaklanan** durumlar şunlardır:

* **Uyuşmazlık mahkemesi kurulması için gerekli yasal süreç",
4,google/gemma-2-2b-it,"Bir grup avukat, Türkiye Büyük Millet Meclisi Başkanı'nın Cumhurbaşkanlığı seçimlerine katılamayacağını belirten Anayasa maddesinin iptali için başvuruda bulunmuştur. Bu başvuru Anayasanın 94. Maddesi ile nasıl çelişir?","Anayasanın 94. Maddesi, Türkiye Büyük Millet Meclisi Başkanı'nın Cumhurbaşkanlığı seçimlerine katılamayacağını belirtir. Bu maddeye aykırı bir başvuru Anayasa'ya aykırıdır.","Bu başvuru Anayasa maddesinin 94. maddesi ile çelişir. Çünkü bu maddesi, Türkiye Büyük Millet Meclisi Başkanı'nın Cumhurbaşkanlığı seçimlerine katılamayacağını belirten bir kararın Anayasa'da yer al",
5,google/gemma-2-2b-it,Grev ve lokavt hakkının önemi nedir,"Grev ve lokavt hakkı, çalışanların ve işverenlerin toplu iş uyuşmazlıklarında haklarını savunmalarını ve taleplerini dile getirmelerini sağlar. bu haklar, işçi-işveren ilişkilerinin dengeli ve adil bir şekilde yürütülmesini destekler.","Grev ve lokavt hakkı, işçilerin iş yerinde haklarını savunma ve işverenlerin iş yükünü azaltma hakkını garanti eden temel haklar olarak kabul edilir. Bu haklar, işçilerin iş yerinde güvenli ve adil bir ortamda çalış",
6,google/gemma-2-2b-it,"Cumhurbaşkanlığı seçimleri, Cumhurbaşkanının görev süresi dolmasına yetmiş gün kala tamamlanmıştır. Bu durum Anayasanın 102. Maddesi ile nasıl çelişir?","Anayasanın 102. Maddesi, seçimlerin görev süresinin dolmasından önceki altmış gün içinde tamamlanmasını öngörür. Yetmiş gün kala tamamlanması bu maddeye aykırıdır.","Anayasanın 102. maddesi, Cumhurbaşkanlığı seçimlerinin, Cumhurbaşkanının görev süresi dolmasına kadar tamamlanması gerektiğini belirtir. Bu durum, Cumhurbaşkanının görev süresi dolmasına 70 gün kala tamamlanması,",
7,google/gemma-2-2b-it,Türk ceza kanunu'na göre kasten öldürme suçu nedir?,Bir kişiyi öldürme kastıyla işlenen suçtur.,"Türk Ceza Kanunu'na göre kasten öldürme suçu, **""insan hayatını doğrudan ve şiddetli bir şekilde tehdit eden bir eylem""** sonucu meydana gelen ölüm olarak tanımlanır.",
8,google/gemma-2-2b-it,"Bir milletvekili, bir kamu idaresinin faaliyetlerini denetlemek için verdiği soru önergesine cevap alamamıştır. Bu durum Anayasanın 98. Maddesi'ne aykırı mıdır?","Evet, Anayasanın 98. Maddesi, verilen soru önergelerinin cevaplandırılmasını öngörür. Cevap alınamaması bu maddeye aykırıdır.","**Evet, Anayasanın 98. Maddesi'ne aykırıdır.**

**Açıklama:**

Anayasanın 98. Maddesi, milletvekillerinin kamu idarelerinin faaliyetlerini denetlemek için soru önergesi ile sorular sor",
9,google/gemma-2-2b-it,"Sanık, bir finans kurumunda yatırım tavsiyeleri vererek müşterileri yanıltıp zarar uğratırsa, hangi suçlamalar gündeme gelir?","Sanık, finans kurumunda yatırım tavsiyeleri vererek müşterileri yanıltıp zarar uğratırsa, 'mali dolandırıcılık', 'yanıltıcı tavsiyelerde bulunma' ve 'ticari etik kurallarının ihlali' suçlarıyla karşılaşabilir. Bu suçlar, hapis cezası ve/veya para cezası ile sonuçlanabilir ve mağdurların zararının tazmini gerekebilir.","Sanık, **yanlış bilgi ve iddia** ile müşterileri yanıltıp zarar uğratması nedeniyle **yasa dışı finansal faaliyet**, **tehlikeli finansal tavsiye** ve **müşteri hakları ihlali** suçlamalarıyla cezalandırı",
